"mutation","ponzr1Counts"
"WT",2387
"WT",2365
"WT",2761
"WT",2466
"WT",2003
"WT",2704
"WT",2266
"WT",2012
"WT",2221
"WT",2766
"M124K",2322
"M124K",1900
"M124K",2948
"M124K",2041
"M124K",1834
"M124K",2567
"M124K",3096
"M124K",2221
"M124K",1986
"M124K",2479
"V456D",1858
"V456D",1253
"V456D",1469
"V456D",831
"V456D",1018
"V456D",1745
"V456D",1737
"V456D",2122
"V456D",747
"V456D",749
"I213N",2207
"I213N",2590
"I213N",2640
"I213N",2389
"I213N",2425
"I213N",1975
"I213N",2097
"I213N",2525
"I213N",2683
"I213N",2251
